This list includes all products vetted to see if they meet California’s legal use criteria. Please view column G (Can this product be used on cannabis? Y/N) to view which products are consistent with and meet California’s legal criteria for use on cannabis. ,,,,,,,
"This list is not an endorsement or recommendation to use these products in the production of cannabis, nor is it an exhaustive list of all products that may meet California’s use criteria.",,,,,,,
"Products exempt from registration under FIFRA 25(b) and 3 CCR 6147 (25(b) products) are not scientifically reviewed by DPR and will not be included in the list, though they may meet the criteria for use in California.",,,,,,,
Product Name,Can this product be used on Cannabis? Y/N,Restrictions & Exceptions,Registrant,EPA Registration Number,Active Ingredient(s),Pesticide Type,DPR Stamped Date* For Internal Use Only
Desect Ag Diatomaceous Earth Insecticide,Y,N/A,"EP Naturals, a Division of EP Minerals, LLC",7655-1-AA,Diatomaceous earth,Insecticide,6/22/2017
Dipel Pro DF Biological Insecticide,Y,"This product can only be applied in greenhouses, shadehouses, and outdoor nurseries. ",Valent Biosciences LLC,73049-39-ZA,"Bacillus thuringiensis subsp. kurstaki, strain ABTS-351, fermentation solids and solubles",Insecticide,5/4/2021
Double Nickel 55,Y,N/A,"Certis USA, LLC",70051-108-AA,Bacillus amyloliquefaciens strain: D747,Fungicide,6/8/2023
Ecogarden,Y,N/A,Parry America Inc.,71908-1-ZA-81268,Azadirachtin,"Growth Regulator, Miticide, Insecticide, Repellent, Nematicide",5/28/2015
Ecoworks EC,Y,N/A,"Ecostadt Technologies, LLC",89152-4-AA,Margosa oil,"Fungicide, Miticide, Insecticide, Insect Growth Regulator, Nematicide",1/1/2021
Ecozin Plus 1.2% ME,Y,N/A,Amvac Chemical Corporation,5481-559-AA,Azadirachtin,"Insecticide, Insect Growth Regulator, Nematicide",8/19/2016
Eliminator Snail & Slug Killer,Y,This product can only be used in greenhouses. ,"Gro Tec, Inc.",67702-32-AA-59144,Ferric sodium EDTA	,Molluscicide,12/21/2020
Evergreen Pro 60-6,Y,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-1770-ZB,"Pyrethrins, piperonyl butoxide",Insecticide,8/25/2021
Exponent Insecticide Synergist,Y,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-1511-ZA,Piperonyl butoxide,Insecticide,5/28/2015
Finalsan Herbicidal Soap,Y,N/A,W. Neudorff GmbH KG,67702-8-ZA,Ammonium soaps of fatty acids,"Herbicide, Desiccant, Algaecide",8/19/2020
Fireworxx,Y,N/A,"OHP, Inc.",67702-54-AA-59807,"Caprylic acid, capric acid","Herbicide, Desiccant, Algaecide",12/7/2020
Fosphite Fungicide,Y,N/A,"JH Biotech, Inc.",68573-2-AA,Potassium phosphite,Fungicide,7/14/2021
Fungi-Phite,Y,N/A,"Verdesian Life Sciences, U.S., LLC, D/B/A/ Verdesian Life Sciences",73771-5-AA,Potassium phosphite,Fungicide,8/19/2020
General Hydroponics Defguard Biofungicide/Bactericide ,Y,This producgt can only be applied in greenhouses and nurseries.,Hawthorne Hydroponics LLC D/B/A General Hydroponics ,91865-3-AA,Bacillus velezensis strain: D747 ,"Bactericide, Fungicide, Antimicrobial ",9/9/2020
Gnatrol WDG Biological Larvicide,Y,N/A,Valent Biosciences LLC,73049-56-ZB,Bacillus thuringiensis subsp. israelensis strain: AM 65-52,Insecticide,9/23/2020
Grandevo CG,Y,N/A,"Pro Farm Group, Inc.",84059-27-ZA,Chromobacterium subtsugae strain: PRAA 4-1,"Miticide, Insecticide",9/3/2020
Grow More N-90 Spreader/Activator ,Y,"This product is an adjuvant. It can be used with other registered products that meet the legal criteria for use on cannabis, but not independently. ","Grow More, Inc.",70908-50001-AA,Polyethoxylated nonylphenol,Adjuvant,8/19/2020
Harris *Since 1922* 20% Vinegar Weed Killer,Y,This product can only be applied around the crop but not to it. ,"P.F. Harris Manufacturing Company, LLC",85208-1-AA-3,Acetic acid,Herbicide,8/19/2020
Homeplate,Y,N/A,"Certis USA, LLC",67702-54-AA-70051,"Caprylic acid, capric acid","Herbicide, Desiccant, Algaecide",2/12/2015
Hormex Rooting Powder No. 16,Y,N/A,Maia Products Inc./Ag Division,8281-2-ZA,IBA (indole-3-butyric acid),Growth Regulator,8/22/2019
Hortus IBA Water Soluble Salts (20%),Y,This product has several restrictions on how it can be applied. The user must follow the label directions carefully.,Hortus USA Corporation,63310-22-AA,IBA (indole-3-butyric acid),Growth Regulator,4/13/2021
Insect Dust ,Y,"This product can only be used indoor on cannabis related structures (e.g. flooring, crevices, etc.). It cannot be applied to the cannabis plant. ","St. Gabriel Organics, LLC",63191-17-ZA,Diatomaceous earth,Insecticide,4/18/2013
Ironfist,Y,N/A,Belchim Crop Production Us Corporation,67702-32-ZA-87865,Ferric sodium EDTA	,Molluscicide,12/15/2015
Isarid,Y,This product can only be applied in greenhouses and to cannabis grown for seed.,"Koppert Biological Systems, Inc.",89635-5-AA,Isaria funosorosea strain: FE 9901,Insecticide,7/20/2022
Jet-Ag 5%,Y,"This product can be used as a pre-plant dip treatment on cannabis seeds, seedlings, or cuttings, as a soil drench, and for bare-root nursery stock. It cannot be applied as a foliar spray in greenhouses or in the field, nor can it be applied to a growing crop. ","Pro Farm Group, Inc.",84059-32-AA,"Peroxyacetic acid, hydrogen peroxide ","Bactericide, Fungicide, Algaecide, Antimicrobial, Slimicide",6/16/2022
K-L-N Rooting Concentrate,Y,N/A,Dyna-Gro,87394-3-AA,"NAA, IBA",Growth Regulator,6/27/2013
Lalstop G46,Y,N/A,Danstar Ferment Ag / Lallemand Plant Care,64137-13-AA,Clonostachys rosea strain: J1446 ,Fungicide,4/13/2021
Lalstop K61 WP,Y,N/A,Danstar Ferment Ag / Lallemand Plant Care,64137-5-ZB,Streptomyces griseoviridis strain: K61,Fungicide,5/28/2015
Leaf Life Sluggo Snail And Slug Bait,Y,N/A,"Loveland Products, Inc.",67702-3-ZA-34704,Iron phosphate,Molluscicide,10/13/2017
Lynx EC 1.4,Y,N/A,"Certis USA, LLC",82074-6-AA,Pyrethrins,Insecticide,2/27/2023
Lynx EC 5.0,Y,N/A,"Certis USA, LLC",82074-7-AA,Pyrethrins,Insecticide,5/15/2018
Milstop SP,Y,N/A,"Bioworks, Inc. D/B/A Bioworks",68539-13-AA,Potassium bicarbonate,Fungicide,2/13/2018
Miracle-Gro Nature'S Care Garden Disease Control,Y,N/A,"Miracle-Gro Lawn Products, Inc.",67702-1-AA-62355,Copper octanoate	,Fungicide,8/8/2023
Molt-X,Y,N/A,"Bioworks, Inc. D/B/A Bioworks",68539-11-AA,Azadirachtin,"Insecticide, Insect Growth Regulator, Nematicide",8/8/2023
Mosquito Bits,Y,For mosquito control as directed on the label,Summit Chemical Company D/B/A Summit Responsible Solutions ,6218- 86-ZA,Bacilllus thuringiensis subspecies israelensis strain SUM-6218,Insecticide,2/25/2021
Mosquito Dunks,Y,For mosquito control as directed on the label,Summit Chemical Company D/B/A Summit Responsible Solutions , 6218- 47-ZB,Bacilllus thuringiensis subspecies israelensis strain BMP 144,Insecticide,5/10/2013
Mycostop Mix,Y,N/A,Danstar Ferment Ag / Lallemand Plant Care,64137-9-AA,Streptomyces griseoviridis strain: K61,Fungicide,9/9/2020
Mycotrol WPO,Y,N/A,"Certis USA, LLC",82074-2-ZA,Beauveria bassiana strain: GHA ,Insecticide,7/24/2023
Neemix 4.5,Y,N/A,"Certis USA, LLC",70051-9-ZA,Azadirachtin,Insecticide,12/22/2020
Nimbiosys Neem Oil (Residential Use),Y,N/A,"The Ahimsa Alternative, Inc.",84181-2-AA,Clarified hydrophobic extract of neem oil,Insecticide,8/8/2023
Nofly WP,Y,This product can only be used in greenhouses and for cannabis grown for seed.,"Futureco Bioscience, S.A.",88664-1-AA,Isaria fumosorosea strain FE 9901	,	Insecticide,9/11/2020
Ornazin 3% Ec Botanical Insecticide,Y,This product can only be used in greenhouses. ,Sepro Corporation,5481-476-AA-67690,Azadirachtin,Insecticide,9/11/2020
Oxidate 2.0,Y,This product can only be used for soil drench and chemigation.,"Biosafe Systems, LLC",70299-12-ZA,"Hydrogen peroxide, peroxyacetic acid","Bactericide, Fungicide, Algaecide, Antimicrobial",Inactive 2023
Oxidate 5.0,Y,N/A,"Biosafe Systems, LLC",70299-28-AA,"Hydrogen peroxide, peroxyacetic acid","Bactericide, Fungicide, Algaecide, Antimicrobial",9/15/2016
Oxiphos,Y,N/A,"Biosafe Systems, LLC",70299-22-AA,"Hydrogen peroxide, potassium phosphite","Bactericide, Fungicide",6/26/2018
Peragreen 15%,Y,This product can only be used in cannabis related water processing systems. ,"Envir Tech Chemical Services, Inc.",63838-2-ZB,"Hydrogen peroxide, peroxyacetic acid","Bactericide, Fungicide, Algaecide, Antimicrobial, Slimicide",11/12/2015
Peragreen 5.6%,Y,"This product can only be used for soil, seed treatments, and dip treatments.","Enviro Tech Chemical Services, Inc.",63838-1-ZB,"Hydrogen peroxide, peroxyacetic acid","Bactericide, Fungicide, Algaecide, Antimicrobial, Slimicide",9/17/2020
Perma-Guard Crawling Insect Control,Y,N/A,"Perma-Guard, Inc.",73729-1-67197,Diatomaceous earth,"Desiccant, Insecticide",9/17/2020
PFR-97 20% WDG,Y,N/A,"Certis USA, LLC",70051-19-ZA,Paecilomyces fumosoroseus apopka strain: 97,Insecticide,10/1/2020
Phospho-Jet,Y,This product can only be used in recirculating hydroponic systems. ,"Arborjet, Inc",74578-3-AA,Potassium phosphite,Fungicide,4/14/2015
Prizefighter,Y,N/A,"Vivid Life Sciences, LLC",87663-11-AA-92697,Ammonium nonanoate,"Herbicide, Algaecide",9/7/2016
Pro-Mix Biofungicide + Mycorrhizae,Y,N/A,Premier Tech Growers and Consumers Inc. ,74267-4-ZE,Bacillus pumilus strain: GHA 180,"Fungicide, Insecticide",6/7/2021
Pro-Mix BRK,Y,N/A,Premier Tech Growers and Consumers Inc. ,74267-4-ZD,Bacillus pumilus strain: GHA 180,"Fungicide, Insecticide",7/1/2014
Pro-Mix BRK20,Y,N/A,Premier Tech Growers and Consumers Inc. ,74267-4-ZC,Bacillus pumilus strain: GHA 180,"Fungicide, Insecticide",10/19/2016
Pro-Mix BX,Y,N/A,Premier Tech Growers and Consumers Inc. ,74267-4-AA,Bacillus pumilus strain: GHA 180,"Fungicide, Insecticide",8/18/2015
Pro-Mix HP,Y,N/A,Premier Tech Growers and Consumers Inc. ,74267-4-ZA,Bacillus pumilus strain: GHA 180,"Fungicide, Insecticide",5/1/2020
Pro-Mix LP15,Y,N/A,Premier Tech Growers and Consumers Inc. ,74267-4-ZB,Bacillus pumilus strain: GHA 180,"Fungicide, Insecticide",5/18/2017
Pyganic Crop Protection EC 1.4 II,Y,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-1771-AA ,Pyrethrins,Insecticide,6/27/2019
Pyganic Crop Protection EC 5.0 II,Y,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-1772-AA,Pyrethrins,Insecticide,6/29/2021
Pyganic Specialty,Y,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-1772-ZB,Pyrethrins,Insecticide,5/5/2016
Rango,Y,N/A,"Terramera, Inc.",88760-10-AA,Margosa oil,"Fungicide, Miticide, Insecticide, Nematicide",10/7/2020
Regalia CG Biofungicide,Y,N/A,"Pro Farm Group, Inc.",84059-3-ZB,Reynoutria sachalinensis,"Bactericide, Fungicide",11/29/2018
Rhapsody,Y,"This product can only be used as a soil drench, in greenhouses, and in nurseries.",Bayer Cropscience LP,264-1155-AA,QST 713 strain of dried Bacillus subtilis,Fungicide,2/15/2015
Rootshield WP Biological Fungicide,Y,This product can only be applied to nursery stock.,"Bioworks, Inc. D/B/A Bioworks",68539-7-AA,Trichoderma harzianum rifai strain: KRL-AG2,"Fungicide, Antimicrobial",6/9/2020
Seican,Y,N/A,"Summit Agro USA, LLC",91473-2-AA-88783,Cinnamaldehyde,"Fungicide, Miticide, Insecticide",11/18/2008
Sil-Matrix,Y,N/A,PQ Corporation,82100-1-AA,Potassium silicate,"Fungicide, Miticide, Insecticide",7/13/2020
Spear-Lep,Y,N/A,Vestaron Corporation,88847-6-ZB,"GS-omega/kappa-HXTX-HV1A, versitude peptide",Insecticide,6/25/2020
Stargus Biofungicide,Y,,Pro Farm Group,84059-28-ZC,Bacillus amyloliquefacens strain: F727 ,Fungicide,2/2/2023
Suppress Herbicide EC,Y,"This product can only be used around the plant, but cannot be applied directly to the cannabis plant.","San Group Biotech USA, Inc. ",51517-9-AA,"Caprylic acid, capric acid ",Herbicide,11/16/2020
Surround WP Agricultural Crop Protectant,Y,N/A,"Tessenderio Kerley, Inc.",61842-18-ZA,Kaolin,"Growth Regulator, Fungicide, Molluscicide, Insecticide, Repellent",4/1/2015
Surround WP Crop Protectant,Y,N/A,"Tessenderlo Kerley, Inc.",61842-18-AA,Kaolin,"Fungicide, Insecticide, Repellent",9/16/2013
Sysstem-K Blue,Y,N/A,Agro-K LLC,48222-10-AA,Potassium phosphite,Fungicide,9/14/2015
Triact 70,Y,This product can be only be used on cannabis grown for transplant. ,"OHP, Inc.",70051-2-AA-59807,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",2/13/2019
Triathlon BA,Y,This product can only be used in greenhouses. ,"OHP, Inc.",70051-107-AA-59807,Bacillus velezensis strain: D747,"Bactericide, Fungicide, Antimicrobial",10/19/1990
Trilogy,Y,N/A,"Certis USA, LLC",70051-2-ZB,Clarified hydrophobic extract of neem oil,"Insecticide, Fungicide, Miticide",1/6/2021
Venerate CG,Y,N/A,"Pro Farm Group, Inc.",84059-14-ZC,Burkholderia rinojensis strain: A398,"Miticide, Insecticide",10/23/2013
Venerate XC,Y,N/A,"Pro Farm Group, Inc.",84059-14-ZA,Burkholderia rinojensis strain: A397,"Insecticide, Nematicide",1/6/2021
Vinegar Weed & Grass Killer,y,N/A,"Energen Carolina, LLC",85208-1-AA-92429,Acetic acid,Herbicide,5/23/2016
Weed Warrior Concentrate Grass And Weed Killer,Y,N/A,"This Land Inc., D/B/A Sunday",67702-34-AA-93737,Ammonium soaps of fatty acids,"Herbicide, Algaecide",9/10/2021
Xentari Biological Insecticide Dry Flowable,Y,"This product can only be applied in greenhouses, shadehouses, and outdoor nurseries. ",Valent Biosciences LLC,73049-40-AA,Bacillus thuringiensis subsp. aizawai strain: ABTS-1857,Insecticide,3/19/2013
Zerotol 2.0,Y,N/A,"Biosafe Systems, LLC",70299-12-AA,"Hydrogen peroxide, peroxyacetic acid","Bactericide, Fungicide, Algaecide, Antimicrobial, Slimicide",6/8/2020
Zerotol HC,Y,N/A,"Biosafe Systems, LLC",70299-16-ZD,"Hydrogen peroxide, peroxyacetic acid","Bactericide, Fungicide, Algaecide, Antimicrobial",7/17/2019
Heligen,N ,N/A,Agbitech PTY LTD,87978-2-AA,Polyhedral occlusion bodies of the nuclear polyhedrosis virus of helicoverpa zea (corn earworm),Insecticide,6/22/2021
Pyganic Gardening,N ,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-1771-ZB,Pyrethrins,Insecticide,6/8/2020
 3-In-1 Concentrate II,N,N/A,"Safer, Inc., A Wholly-Owned Subsidary of Woodstream Corporation",59913-13-ZA,"Potassium laurate, sulfur",Insecticide,4/1/2021
3-In-1 Garden Spray II,N,N/A,"Safer, Inc., A Wholly-Owned Subsidary of Woodstream Corporation",59913-12-ZD,"Potassium laurate, sulfur","Fungicide, Miticide, Insecticide",12/4/2020
70% Neem Oil (Monterey),N,N/A,"Lawn And Garden Products, Inc.",70051-2-AA-54705,Clarified hydrophobic extract of neem oil,"Fungicide, Miticide, Insecticide",12/20/2016
Actinovate AG,N,N/A,"Novozymes BioAg, Inc. ",73314-1-ZD,Strepomyces lydicus strain: WYEC 108 ,"Fungicide, Antimicrobial",12/20/2016
Akari 5SC Miticide/Insecticide,N,N/A,"Nichino America, Inc.",71711-4-AA,Fenproximate,"Miticide, Insecticide",2/14/2017
Alude Fungicide,N,N/A,"Nufarm Americas, Inc. Agt Division",55146-83-ZA,"Mono- and di-basic sodium, potassium, and ammonium salts of phosphorus acid",Fungicide,8/2/2011
Aquaback (400G),N,,"Becker Microbial Products, Inc.",62637- 13-AA,Bacilllus thuringiensis subspecies israelensis strain BMP 144,Insecticide,11/5/2012
Aquaback FG,N,,"Becker Microbial Products, Inc.",62637-1-ZB,Bacilllus thuringiensis subspecies israelensis strain BMP 144,Insecticide,7/25/2023
Asperello T34 Biocontrol,N,N/A,"Biobest USA, Inc.",87301-1-AA-91594,Trichoderma asperellum strain: T-34,Fungicide,7/12/2017
Azera Gardening,N,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-1872-ZA,"Azadirachtin, pyrethrins",Insecticide,9/9/1990
Bactimos PT,N,,"Vallent Biosciences, LLC",73049- 452-AA,Bacillus thuringiensis subsp. israelensis strain: AM 65-52 ,Insecticide,9/24/2020
BellaTrove Companion Maxx WP,N,,Plant Health Intermediate Inc. D/B/A DPH Biologicals ,94485-5-AA,Bacillus velezensis strain: GB03 ,"Growth Regulator, Bactericide, Fungicide, Antimicrobial",3/14/2024
Bioceres EC,N,,"Anatis BioProtection, Inc. ",89600-4-AA,Beauveria bassiana,Insecticide,3/27/2024
Bioceres GR,N,,"Anatis BioProtection, Inc. ",89600-7,Beauveria bassiana,Insecticide,Not registered in CA
Bioceres WP,N,,"Anatis BioProtection, Inc. ",89600-2-AA,Beauveria bassiana,Insecticide,9/30/2024
Bio-Tam 2.0,N,N/A,"Isagro S.P.A., D/B/A Isagro USA Inc. ",80289-9-ZA,"Trichoderma asperellum strain: Icc 012, Trichoderma gamsii strain: ICC 080",Fungicide,5/3/2013
Bonide All Seasons Horticultural & Dormant Spray Oil Concentrate,N,N/A,"Bonide Products, LLC",4-80-ZE,Mineral oil,"Insecticide, Fungicide",5/16/2018
Bonide All Seasons Horticultural & Dormant Spray Oil Ready To Spray,N,N/A,"Bonide Products, LLC",4-80-ZC,Mineral oil,"Insecticide, Fungicide",2/22/2022
Bonide Garden Rich Root & Grow Root Stimulator And Plant Starter 4-10-3,N,N/A,"Bonide Products, LLC",4-431-AA,IBA (indole-3-butyric acid),"Plant Growth Regulator, Growth Stimulator",4/4/2012
Bonide Insecticidal Soap Multi-Purpose Insect Control Ready To Use,N,N/A,"Bonide Products, LLC",67702-13-ZD-4,Potassium salts of fatty acids,Insecticide,11/15/2012
Bonide Rose Rx 3-in-1 Concentrate,N,N/A,"Bonide Products, LLC",70051-2-ZD-4,Clarified hydrophobic extract of neem oil,"Insecticide, Fungicide, Miticide",2/12/2020
Bonide Rose Rx 3-in-1 Ready To Use,N,N/A,"Bonide Products, LLC",70051-13-ZG-4,Clarified hydrophobic extract of neem oil,"Insecticide, Fungicide, Miticide",6/15/2020
Bon-Neem II Fungicide Miticide Insecticide Ready To Use,N,N/A,"Bonide Products, LLC",70051-74-ZA-4,"Clarified hydrophobic extract of neem oil, piperonyl butoxide, pyrethrins","Fungicide, Miticide, Insecticide",1/19/2018
BotaniGard 22WP,N,,"Certis USA, LLC",82074-2-AA,Beauveria bassiana strain: GHA ,Insecticide,5/30/2019
BotaniGard ES,N,,"Certis USA, LLC",82074-1-AA,Beauveria bassiana strain: GHA ,Insecticide,9/19/2022
BotaniGard Optima ES,N,,"Certis USA, LLC",82074-17-ZA,Beauveria bassiana strain: GHA ,Insecticide,11/2/2023
BoteGHA ES ,N,,"Certis USA, LLC",82074-1-ZB,Beauveria bassiana strain: GHA ,Insecticide,9/19/2022
BoteGHA Optima ES,N,,"Certis USA, LLC",82074-17-ZB,Beauveria bassiana strain: GHA ,Insecticide,11/2/2023
Botrystop WP,N,N/A,"Bioworks, Inc. D/B/A Bioworks",68539-17-AA,Ulocladium oudemansii (U3 strain),Fungicide,1/18/2024
Brandt Nema-Q,N,N/A,"Brandt Consolidated, Inc.",82572-1-AA-48813,Quillaja ,Nematicide,6/17/2021
Brandt Turfzilla,N,N/A,"Brandt Consolidated, Inc.",83416-1-AA-48813,Mono- and di- potassium salts of phosphorus acid,Fungicide,4/7/2017
Captain Jack's Copper Fungicide Ready To Use,N,N/A,"Bonide Products, LLC",67702-1-ZC-4,Copper octanoate,Fungicide,10/16/2017
Captain Jack's Neem Oil Fungicide Miticide Insecticide Concentrate,N,N/A,"Bonide Products, LLC",70051-2-ZC-4,Clarified hydrophobic extract of neem oil,"Fungicide, Insecticide",8/29/2019
Captain Jack's Neem Oil Ready To Use,N,N/A,"Bonide Products, LLC",70051-13-ZF-4,Clarified hydrophobic extract of neem oil,"Insecticide, Fungicide, Miticide",7/20/2022
Captain Jack's Orchard Spray Concentrate,N,N/A,"Bonide Products, LLC",67702-17-ZD-4,"Pyrethrins, sulfur","Fungicide, Miticide, Insecticide",11/8/2019
